地區,選區,姓名,教育程度,性別,性別_bin,出生年次,年齡,在位與否,原選區連任,推薦政黨,競爭激烈(Entropy),人口密度,政黨地位(上屆政黨得票率),有無臉書,臉書連結,PageRank,Density,Mutuality,Betweenness,Closeness,得票數,得票率,當選,政黨立場,泛藍,中立,泛綠,學歷等級
臺北市,8,張維學,學士,1,1,1938,86,0,0.0,無,1.77,7340.17,0.0,0,,0.0,0.0,0.0,0.0,0.0,201,0.0011,0,0,0,1,0,2
臺北市,8,胡之壯,學士,1,1,1950,74,0,0.0,興中同盟會,1.77,7340.17,0.0,1,https://www.facebook.com/p/%E8%83%A1%E4%B9%8B%E5%A3%AF-100000889210816/?_rdr,0.0,0.0,0.0,0.0,0.0,136,0.0007,0,0,0,1,0,2
新竹縣,1,劉復嵐,學士,1,1,1963,61,0,0.0,台灣維新,1.63,235.75,0.000698823,1,https://www.facebook.com/Views.With.FrankLiu/?locale=zh_TW,0.00164168,0.011235955,0.0,0.0,0.0,"1,392",0.0092,0,0,0,1,0,2
新竹縣,1,徐欣瑩,碩士,0,0,1961,63,0,0.0,中國國民黨,1.63,235.75,0.398978166,1,https://www.facebook.com/shesinging.tw/?locale=zh_TW,0.003782182,0.02247191,0.25,0.000835066,0.233277945,"84,959",0.5591,1,-1,1,0,0,3
新竹縣,1,劉台穠,學士,0,0,1970,54,0,0.0,小民參政歐巴桑聯盟,1.63,235.75,0.0,0,,0.0,0.0,0.0,0.0,0.0,"4,610",0.0303,0,1,0,0,1,2
新竹縣,1,余筱菁,碩士,0,0,1969,55,0,0.0,台灣綠黨,1.63,235.75,0.0,0,,0.0,0.0,0.0,0.0,0.0,"15,557",0.1024,0,1,0,0,1,3
新竹縣,1,詹紀緹,學士,0,0,1979,45,0,0.0,民主進步黨,1.63,235.75,0.233599404,1,https://www.facebook.com/ChiTiforHsinchu/?locale=zh_TW,0.002234574,0.050561798,0.444444444,9.12e-05,0.256124754,"45,445",0.2991,0,1,0,0,1,2
新竹縣,2,王婉諭,碩士,0,0,1968,56,0,0.0,時代力量,2.05,452.68,0.090912197,1,https://www.facebook.com/wanyu.claire/?locale=zh_TW,0.015872939,0.005617978,1.0,0.000253226,0.260528347,"63,566",0.3719,0,1,0,0,1,3
新竹縣,2,曾聖凱,碩士,1,1,1973,51,0,0.0,民主進步黨,2.05,452.68,0.233599404,1,https://www.facebook.com/skytseng.newhsinchu/?locale=zh_TW,0.004432756,0.0,0.0,0.0,0.280212235,"30,738",0.1798,0,1,0,0,1,3
新竹縣,2,林思銘,學士,1,1,1955,69,0,1.0,中國國民黨,2.05,452.68,0.398978166,1,https://www.facebook.com/linsm.hc/?locale=zh_TW,0.006224577,0.202247191,0.361111111,0.035111193,0.289727127,"76,608",0.4482,1,-1,1,0,0,2
新竹市,1,趙福龍,高中職以下,1,1,1944,80,0,0.0,制度救世島,1.74,3451.42,0.0,1,https://www.facebook.com/p/%E8%B6%99%E7%A6%8F%E9%BE%8D-100010923137828/,0.0,0.0,0.0,0.0,0.0,249,0.001,0,0,0,1,0,1
新竹市,1,楊清華,碩士,1,1,1966,58,0,0.0,司法改革黨,1.74,3451.42,0.0,1,https://www.facebook.com/tw2229666,0.0,0.0,0.0,0.0,0.0,566,0.0022,0,0,0,1,0,3
